Dwell Time (ms),Current Drop (nA),Nucleotide
0.4586394466578355,1.177537531468038,dAMP
0.4585373099428136,0.6009652080201525,dAMP
0.4870965884870216,0.6296675651331214,dAMP
0.4455885997885807,0.7674414187855412,dAMP
0.6328194141849058,0.911246001880132,dAMP
0.5954001763493202,0.9302782502611596,dAMP
0.4011408892849082,0.5792821365568459,dAMP
0.5003147726906326,1.0459980736877368,dAMP
0.5084505145692862,0.9595989099224472,dAMP
0.5185175536829914,0.8850889728368345,dAMP
0.3709438578053781,0.7713482169271615,dAMP
0.4892969640045442,0.5929515355161252,dAMP
0.5708214423256557,0.8466432262527004,dAMP
0.417240977935128,0.817228776609275,dAMP
0.7202013924659616,0.728781590276189,dAMP
0.5138078408417547,0.4227742592097948,dAMP
0.3399096021523484,0.6343005950439509,dAMP
0.2780222052548149,0.5200636990534628,dAMP
0.40754358856219,0.4804801660809136,dAMP
0.4765980140893018,0.893271674889267,dAMP
0.380636316824352,0.9838308347220004,dAMP
0.5233042951529484,0.6563870432763472,dAMP
0.3788828070719219,0.946152823813305,dAMP
0.421401053949205,0.5337534092884444,dAMP
0.582014359412306,0.7064522632282837,dAMP
0.5059630369920174,0.6706126444588852,dAMP
0.5281192017910276,1.166512248071203,dAMP
0.4745022782579144,1.1007985977165378,dAMP
0.5975200541684766,0.873852755529981,dAMP
0.5840643548988724,0.6694752041395219,dAMP
0.4737340479683832,0.7327226109177728,dAMP
0.5833922154548904,0.8918360158456874,dAMP
0.4220193324262399,0.998385261977391,dAMP
0.6269613262599842,0.5509698848079829,dAMP
0.6220821298813048,0.6246452437576311,dAMP
0.3763864203969537,1.050867672151468,dAMP
0.4516341362562431,0.7506551151771119,dAMP
0.3672201326520569,0.7422934198636408,dAMP
0.5656898706319647,0.6555305190769941,dAMP
0.1992367660306242,0.9142358812438418,dAMP
0.6775490849240049,0.5041607963284467,dAMP
0.4826126179685414,1.0677184276591214,dAMP
0.5331263431403563,0.995109025424472,dAMP
0.3449336568933867,0.8137125949612055,dAMP
0.6217158520825496,1.1042632103844905,dAMP
0.5155155342865356,0.7203433932914903,dAMP
0.5011862679180784,0.6038423983172883,dAMP
0.6495571736482426,1.055686991593143,dAMP
0.461212421813753,1.0612144407743258,dAMP
0.4806294620195038,0.9080575888071392,dAMP
0.4947244891999234,0.9306957963903482,dAMP
0.4164129744381694,0.5808258378402565,dAMP
0.3972596448473989,0.7253463508117373,dAMP
0.5331647667125763,0.5905684862619471,dAMP
0.4402489805308358,1.0844739723397017,dAMP
0.4841462307583543,0.616396187672207,dAMP
0.6484116028535964,0.871122669757132,dAMP
0.4174502803207488,0.7357228316694013,dAMP
0.5706078913815131,0.7514637446375934,dAMP
0.4425899324716401,0.9072827799782688,dAMP
0.4465243329155677,0.8589942911417644,dAMP
0.2885306400926264,0.7152197855334809,dAMP
0.4567698814190459,0.8463461884060786,dAMP
0.6637211644702854,0.5137290305891147,dAMP
0.4539361229040212,1.0114244452437833,dAMP
0.6092106783982426,0.6904189391586131,dAMP
0.4684733666083744,0.8536100855179507,dAMP
0.3218841585534366,0.3539063961751082,dAMP
0.6038012527315962,0.9528426406677712,dAMP
0.4618368904586789,0.9480251328210488,dAMP
0.3735501593045034,0.4413787094930846,dAMP
0.4754611883997129,0.6492527671285021,dAMP
0.4469742381627559,0.6414254335475312,dAMP
0.5478979825746392,0.8667324210573897,dAMP
0.4207580079000038,0.738407694072192,dAMP
0.4401562419418953,0.606682421802937,dAMP
0.4635047270457114,0.6321580665321987,dAMP
0.4786124832445361,0.9940632403576564,dAMP
0.378341919586429,0.5756939705149946,dAMP
0.4332666618783519,0.3516168130982174,dAMP
0.4146504519938658,0.666112617273302,dAMP
0.4487411203021491,0.9366424808002138,dAMP
0.556864461601277,0.8765843420114526,dAMP
0.4582090454234109,0.3948384253777246,dAMP
0.3654985516069331,0.6277900655668849,dAMP
0.6246891715534719,0.7875991981267937,dAMP
0.6884586305934609,1.1086487056544378,dAMP
0.4974973041254856,0.9635532598400576,dAMP
0.5103117925717204,0.7097109219350133,dAMP
0.5444895895009885,0.9701438788921296,dAMP
0.3575832399812401,1.1823212134126644,dAMP
0.3978767182869286,0.9416712894598708,dAMP
0.6305478807154329,0.8042007683265519,dAMP
0.6237438134684139,0.708539668982642,dAMP
0.3998379990105084,0.743779941422809,dAMP
0.5583837081539059,0.7129503605989664,dAMP
0.2596331398899469,1.0784911882966135,dAMP
0.4313461246846231,1.0326752110327102,dAMP
0.5186766764477079,0.6489234135293356,dAMP
0.3808696502797351,0.931310721726766,dAMP
0.3706858456241352,0.9144780622351352,dAMP
0.5502784426895194,1.1592721645853927,dAMP
0.5759514887486108,0.7416482735482927,dAMP
0.5566540987081656,0.6703061599961726,dAMP
0.4444800473306801,1.176231413888118,dAMP
0.3962753845673543,0.7619322643832784,dAMP
0.5793488720552213,0.4502936053523638,dAMP
0.4303228181570425,0.9164053134169454,dAMP
0.4806659050320377,0.9793594664066472,dAMP
0.5349650047299693,0.487039445727589,dAMP
0.6738851351853331,0.7357514467764177,dAMP
0.4809960964998505,0.7285109154379146,dAMP
0.4450075167535654,0.6979872099807836,dAMP
0.5224684725751886,0.986518166374618,dAMP
